url,status,shannon_entropy,relative_entropy,url_length,special_char_count,suspicious_words_count,domain_word_count,subdomain_count,has_suspicious_tld
https://www.michalblazek.cz/,0,3.967720100474499,0.1417042893026606,28,3,0,3,2,0
http://mudanzassuarez.com/blog/profile/,1,4.282340283509332,0.1098035970130597,39,5,0,2,1,0
https://motorcityamsterdam.nl/,0,3.936243412983061,0.131208113766102,30,3,0,2,1,0
https://kjjllgf.blogspot.com/,1,3.857306856898128,0.1330105812723492,29,3,0,3,2,0
http://www.foresighttech.com/aspnet_client/,1,4.08267318468309,0.0949458880158858,43,5,0,3,2,0
http://superbahisgirisadresimiz3.blogspot.com,1,4.197656852829064,0.0932812633962014,45,2,0,3,2,0
http://androidflagship.com/5820-vh1-app-finally-android,0,4.447103750156402,0.0808564318210254,55,7,0,2,1,0
https://www.fool.com/quote/nok,0,3.869576746316394,0.1289858915438798,30,4,0,3,2,0
http://510637870.swh.strato-hosting.eu/paypal,1,4.466542752164839,0.0992565056036631,45,4,0,4,3,0
http://yovcxm.com/chase/chase/9854c60851ce4be37638aaaabfd0f96c,1,4.552682552490406,0.0734303637498452,62,5,0,2,1,0
http://67.199.68.195/intservices.htm,1,4.127986806877676,0.1146663001910465,36,3,0,0,3,0
http://www.officialtobinbell.com/situasi-poker-online-indonesia-sokongan-implementasi-android-dan-ios,1,4.218924578524214,0.0417715304804377,101,11,0,3,2,0
https://www.pardus.org.tr/,0,3.6321921215711934,0.1396996969835074,26,3,0,4,3,0
http://gruposdefreefire.000webhostapp.com/,1,4.168886994558424,0.0992592141561529,42,3,1,3,2,0
http://inqserve.com/wp/wp-admin/network/fr-fr6963impotsgouv4/espace/sms2.html,1,4.953547378633035,0.0643317841380913,77,10,0,2,1,0
http://stolizaparketa.ru/wp-content/themes/twentyfifteen/css/read/chinavali/index.php?email=paul@radiosystems.dabsol.co.uk/,1,4.490841428928978,0.0365109059262518,123,14,0,2,1,0
https://www.virzoom.com/,0,3.7406015629507214,0.1558583984562801,24,3,0,3,2,0
http://yulearse.tumblr.com,0,3.979097891134805,0.1530422265821079,26,2,0,3,2,0
http://csbw.fr/cs/,1,3.392147223664535,0.1884526235369186,18,4,0,2,1,0
https://jucabas.000webhostapp.com/,1,3.954247399692081,0.1163013941085906,34,3,0,3,2,0
http://searchsecurity.techtarget.com/definition/transport-layer-security-tls,0,4.3060735676061945,0.0566588627316604,76,7,0,3,2,0
https://www.playmeo.com/,0,3.772055208874201,0.157168967036425,24,3,0,3,2,0
https://www.gulfeducationservices.com/slider/service/check/login-account/,1,4.382534704196495,0.0600347219752944,73,8,2,3,2,0
http://lliooils.ru.com/.wp-en/,1,3.964735178725505,0.1321578392908501,30,5,0,3,2,0
https://www.bauteile-shop.eu/,0,3.857306856898128,0.1330105812723492,29,4,0,4,2,0
http://searchnetworking.techtarget.com/answer/is-passive-optical-networking-good-for-enterprises,0,4.243293950382455,0.0442009786498172,96,10,0,3,2,0
https://rebrand.ly/nrp6pu,1,3.913269689515108,0.1565307875806043,25,3,0,2,1,0
https://pcswm-my.sharepoint.com/:b:/g/personal/connie_pcs-wm_com/eelmjibvphtjozi6ish0woob91tkaq7wchduwb_563klgq?e=r3eg6g,1,5.314468304875446,0.044287235873962,120,14,0,4,2,0
http://everything.explained.today/latency_stage/,0,4.157268229617389,0.0866097547836956,48,5,0,3,2,0
https://image.prntscr.com/image/qlvb0yj1qlimri5eqhulgq.png,1,4.710923667317558,0.0812228218503027,58,4,0,3,2,0
http://www.vh1.com/app,0,3.5383105956150063,0.1608322998006821,22,3,0,3,2,0
http://623112j4j3.codesandbox.io/bigshuju,1,4.473048041045147,0.1090987327084182,41,3,0,4,2,0
http://www.explainthatstuff.com/cdplayers.html,0,4.245431792590248,0.0922919954910923,46,3,0,3,2,0
http://psm.du.edu/media/documents/us_regulations/dod/handbooks/us_dod_contracting_officers_guide_for_theater_business_clearance_pakistan.pdf,0,4.29600384641241,0.0306857417600886,140,18,0,3,2,0
http://handsonbeautysalon.co.uk/ofiice/office/login.php?cmd=login_submit&id=d4f8e81669caee861c0719c7d9dcb309d4f8e81669caee861c0719c7d9dcb309&session=d4f8e81669caee861c0719c7d9dcb309d4f8e81669caee861c0719c7d9dcb309,1,4.663949853713906,0.0218964781864502,213,12,1,3,2,0
http://myppbilling-acount.link,1,4.047742678581274,0.1349247559527091,30,3,0,3,1,0
http://logln-office365-0nline.wm.r.appspot.com/jim@thejimburkefamily.com/,1,4.619915532385116,0.0632865141422618,73,7,0,7,4,0
